"ID Caso","ID Caso Relacionado","Año","Mes","Día","Código DANE de Municipio","Municipio","Departamento","Región","Modalidad","Presunto Responsable","Descripción Presunto Responsable","Abandono o Despojo Forzado de Tierras","Amenaza o Intimidación","Ataque Contra Misión Médica","Confinamiento o Restricción a la Movilidad","Desplazamiento Forzado","Extorsión","Lesionados Civiles","Pillaje","Tortura","Violencia Basada en Género","Otro Hecho Simultáneo","Total de Víctimas del Caso","Tipo de Armas","latitud-longitud"
"184,670",,"2,002","3","16","54810","TIBU","NORTE DE SANTANDER","CATATUMBO","DESCONOCIDA","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","0","0",,,"5","ARMA DE FUEGO","POINT (-72.79925855 8.713507237)"
"185,200",,"2,001","5","26","20178","CHIRIGUANA","CESAR","SERRANIA DEL PERIJA","RUTA","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","0","0",,,"4","ND","POINT (-73.54797894 9.426648354)"
"18,840","CR049009","2,002","9","23","44430","MAICAO","LA GUAJIRA","ALTA GUAJIRA","FALSO POSITIVO","AGENTE DEL ESTADO - GRUPO PARAMILITAR","NO APLICA","0","0","0","0","0","0","1","0","0",,,"4","ARMA DE FUEGO","POINT (-72.29500818 11.38157764)"
"205,443",,"2,006","5","6","18205","CURILLO","CAQUETA","FLORENCIA Y AREA DE INFLUENCIA","ASALTO","GRUPO ARMADO NO IDENTIFICADO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"8","ARMA CORTO PUNZANTE - ARMA DE FUEGO","POINT (-75.97328452 1.115379292)"
"208,520",,"2,004","7","1","85001","YOPAL","CASANARE","PIEDEMONTE LLANERO","RETENCIÓN/EJECUCIÓN","GRUPO PARAMILITAR","NO IDENTIFICADO","0","1","0","0","0","0","0","1","4",,,"4","ND","POINT (-72.25802857 5.242744761)"
"210,267",,"2,000","9","24","05649","SAN CARLOS","ANTIOQUIA","ORIENTE ANTIOQUEÑO","ASALTO","GRUPO PARAMILITAR","NO IDENTIFICADO","0","0","0","0","1","0","0","0","0",,,"4","ND","POINT (-74.90732769 6.193789659)"
"218,398",,"1,989","11","13","20011","AGUACHICA","CESAR","MAGDALENA MEDIO","RETENCIÓN/EJECUCIÓN","GRUPO ARMADO NO IDENTIFICADO","NO APLICA","0","1","0","0","0","0","0","0","0",,,"4","ND","POINT (-73.60916412 8.38465545)"
"223,435","CR2017223435","1,992","9","14","17614","RIOSUCIO","CALDAS","EJE CAFETERO","RETENCIÓN/EJECUCIÓN","GRUPO ARMADO NO DIRIMIDO","NO APLICA","0","1","0","0","1","0","1","0","0",,,"4","ND","POINT (-75.75220499 5.442275418)"
"227,790",,"1,995","2","7","05044","ANZA","ANTIOQUIA","OCCIDENTE ANTIOQUEÑO","INTERCEPTACIÓN","GRUPO PARAMILITAR","NO IDENTIFICADO","0","0","0","0","0","0","0","0","1",,"OCULTAMIENTO DE CADÁVER","5","ND","POINT (-75.91736927 6.293546613)"
"229,638","CR2017229638","1,996","11","17","20032","ASTREA","CESAR","SERRANIA DEL PERIJA","RUTA","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","1","0","0","0","0","0","0","1",,,"4","ARMA DE FUEGO","POINT (-73.975842 9.498062)"
